repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category
very-good-science/data-ethics-club,very-good-science,https://github.com/very-good-science/data-ethics-club,,Python,"[""data-science"",""data"",""machine-learning"",""algorithms"",""bias""]",88,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
catboost/catboost,catboost,https://github.com/catboost/catboost,,C++,"[""python"",""data-science"",""machine-learning"",""data-mining"",""tutorial""]",9069,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
azukds/tubular,azukds,https://github.com/azukds/tubular,,Python,"[""python"",""data-science"",""machine-learning"",""scikit-learn"",""data-transformation""]",108,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
h2oai/h2o-3,h2oai,https://github.com/h2oai/h2o-3,,Jupyter Notebook,"[""python"",""java"",""data-science"",""machine-learning"",""opensource""]",7493,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
mlrun/mlrun,mlrun,https://github.com/mlrun/mlrun,,Python,"[""python"",""kubernetes"",""workflow"",""data-science"",""machine-learning""]",1692,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration
open-edge-platform/geti,open-edge-platform,https://github.com/open-edge-platform/geti,,Python,"[""machine-learning"",""computer-vision"",""deep-learning"",""pytorch"",""semi-supervised-learning""]",1309,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
modal-labs/modal-client,modal-labs,https://github.com/modal-labs/modal-client,,Python,"[""python"",""data-science"",""machine-learning"",""cloud"",""ai""]",505,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
iesahin/xvc,iesahin,https://github.com/iesahin/xvc,,Rust,"[""rust"",""devops"",""data-science"",""data"",""machine-learning""]",76,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
gradio-app/gradio,gradio-app,https://github.com/gradio-app/gradio,,Python,"[""python"",""data-science"",""machine-learning"",""ui"",""deep-learning""]",43388,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
aminekago-web/Paradigm-Survival-Arena,aminekago-web,https://github.com/aminekago-web/Paradigm-Survival-Arena,,HTML,"[""javascript"",""game"",""python"",""machine-learning"",""reinforcement-learning""]",117,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
